"StateName","Org_ID","Name","Phone","Ext"
"Tennessee","12","American Family Life Assurance Company of Columbus (AFLAC)","8552072078",""
"West Virginia","12","American Family Life Assurance Company of Columbus (AFLAC)","8009923522",""
"Indiana","15","American Family Mutual Insurance Company","8006926326",""
"Michigan","17","American General Life & Accident Insurance","8008882452",""
"Mississippi","17","American General Life & Accident Insurance","8008710260",""
"Michigan","20","American Income Life Insurance Co","8004333405",""
"Delaware","22","Highmark Blue Cross Blue Shield","8006332563",""
"Pennsylvania","22","Highmark Blue Cross Blue Shield","8003457808",""
"West Virginia","22","Highmark Blue Cross Blue Shield","8003445514",""
"Georgia","24","American National Insurance Co","4097634661",""
"Michigan","24","American National Insurance Co","8008996503",""
"Florida - Northern","25","American Pioneer Life Insurance Company","8005381053",""
"Florida - Southern","25","American Pioneer Life Insurance Company","8005381053",""
"Indiana","25","American Pioneer Life Insurance Company","8005381053",""
"Mississippi","25","American Pioneer Life Insurance Company","8005381053",""
"South Carolina","25","American Pioneer Life Insurance Company","8005381053",""
"Arkansas","26","Guarantee Trust Life Insurance Co","8474604772",""
"Idaho","26","Guarantee Trust Life Insurance Co","8003387452",""
"Kansas","26","Guarantee Trust Life Insurance Co","8003387452",""
"Michigan","26","Guarantee Trust Life Insurance Co","8003387452",""
"New Mexico","26","Guarantee Trust Life Insurance Co","8003887452",""
"South Carolina","26","Guarantee Trust Life Insurance Co","8003387452",""
"Tennessee","26","Guarantee Trust Life Insurance Co","8003236907",""
"Wyoming","26","Guarantee Trust Life Insurance Co","8003387452",""
"Connecticut","28","American Progressive Life & Health Insurance Co. of NY","8006454116",""
"Maryland","28","American Progressive Life & Health Insurance Co. of NY","8006454116",""
"New Jersey","28","American Progressive Life & Health Insurance Co. of NY","8003323377",""
"New York - Upstate","28","American Progressive Life & Health Insurance Co. of NY","8003323377",""
"New York - New York City Vicinity","28","American Progressive Life & Health Insurance Co. of NY","8003323377",""
"Pennsylvania","28","American Progressive Life & Health Insurance Co. of NY","8006454116",""
"Vermont","28","American Progressive Life & Health Insurance Co. of NY","8003323377","183"
"Mississippi","29","American Public Life Ins Co","4055232000",""
"Alabama","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Arkansas","30","American Republic Insurance Company/United Savers Association","5152452131",""
"Arizona","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Colorado","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Iowa","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Idaho","30","American Republic Insurance Company/United Savers Association","8002472190",""
"Illinois","30","American Republic Insurance Company/United Savers Association","8002472190",""
"Kansas","30","American Republic Insurance Company/United Savers Association","8002472190",""
"Kentucky","30","American Republic Insurance Company/United Savers Association","8667059100",""
"Michigan","30","American Republic Insurance Company/United Savers Association","8002472190",""
"Missouri","30","American Republic Insurance Company/United Savers Association","8002472190",""
"Mississippi","30","American Republic Insurance Company/United Savers Association","4042665600",""
"North Carolina","30","American Republic Insurance Company/United Savers Association","8887553065",""
"North Dakota","30","American Republic Insurance Company/United Savers Association","5152452000",""
"Nevada","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Oregon","30","American Republic Insurance Company/United Savers Association","8002472190",""
"Pennsylvania","30","American Republic Insurance Company/United Savers Association","8002472190",""
"South Carolina","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Tennessee","30","American Republic Insurance Company/United Savers Association","8667059100",""
"Texas - Eastern & Southern","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Texas - Northern & Western","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Virginia","30","American Republic Insurance Company/United Savers Association","8887553065",""
"Wisconsin","30","American Republic Insurance Company/United Savers Association","8664812220",""
"Indiana","35","Anthem Insurance Companies  Inc.","8886415224",""
"Connecticut","37","Anthem Blue Cross Blue Shield of Connecticut","8002381143",""
"Arkansas","41","Blue Cross Blue Shield of Arkansas","8003922583",""
"Nevada","44","Transamerica Financial Life Insurance Company","8552884181",""
"New York - Upstate","44","Transamerica Financial Life Insurance Company","8007529797",""
"New York - New York City Vicinity","44","Transamerica Financial Life Insurance Company","8007529797",""
"Oklahoma","44","Transamerica Financial Life Insurance Company","8002608066",""
"District of Columbia","46","Bankers Life & Casualty Insurance Co","7039415666",""
"Michigan","46","Bankers Life & Casualty Insurance Co","8002319150",""
"South Carolina","46","Bankers Life & Casualty Insurance Co","8882828252",""
"Alabama","57","Blue Cross Blue Shield of Alabama","8772787007",""
"Alabama","58","Gerber Life Insurance Co","8777780839",""
"Arkansas","58","Gerber Life Insurance Co","9142724000",""
"Arizona","58","Gerber Life Insurance Co","8777780839",""
"California - Northern & Central","58","Gerber Life Insurance Co","8777780839",""
"California - Southern","58","Gerber Life Insurance Co","8777780839",""
"Colorado","58","Gerber Life Insurance Co","8777780839",""
"Delaware","58","Gerber Life Insurance Co","8777780839",""
"Florida - Northern","58","Gerber Life Insurance Co","8777780839",""
"Florida - Southern","58","Gerber Life Insurance Co","8777780839",""
"Georgia","58","Gerber Life Insurance Co","8007042180",""
"Idaho","58","Gerber Life Insurance Co","8007042180",""
"Illinois","58","Gerber Life Insurance Co","8777780839",""
"Indiana","58","Gerber Life Insurance Co","8777780839",""
"Kansas","58","Gerber Life Insurance Co","8007042180",""
"Kentucky","58","Gerber Life Insurance Co","9543848647",""
"Louisiana","58","Gerber Life Insurance Co","8777780839",""
"Maryland","58","Gerber Life Insurance Co","8777780839",""
"Michigan","58","Gerber Life Insurance Co","8007042180",""
"Minnesota","58","Gerber Life Insurance Co","8777780839",""
"Missouri","58","Gerber Life Insurance Co","8552582580",""
"Mississippi","58","Gerber Life Insurance Co","8777780839",""
"Montana","58","Gerber Life Insurance Co","8777780839",""
"North Carolina","58","Gerber Life Insurance Co","8777780839",""
"North Dakota","58","Gerber Life Insurance Co","9142724000",""
"Nebraska","58","Gerber Life Insurance Co","8007042180",""
"New Hampshire","58","Gerber Life Insurance Co","8777780839",""
"New Jersey","58","Gerber Life Insurance Co","8777780839",""
"New Mexico","58","Gerber Life Insurance Co","8777780839",""
"Nevada","58","Gerber Life Insurance Co","8777780839",""
"Ohio - Western & Southern","58","Gerber Life Insurance Co","8777780839",""
"Ohio - Eastern","58","Gerber Life Insurance Co","8777780839",""
"Oklahoma","58","Gerber Life Insurance Co","8777780839",""
"Oregon","58","Gerber Life Insurance Co","8777780839",""
"Pennsylvania","58","Gerber Life Insurance Co","9142724000",""
"South Carolina","58","Gerber Life Insurance Co","8552582580",""
"South Dakota","58","Gerber Life Insurance Co","8777780839",""
"Tennessee","58","Gerber Life Insurance Co","8777780839",""
"Texas - Eastern & Southern","58","Gerber Life Insurance Co","8777780839",""
"Texas - Northern & Western","58","Gerber Life Insurance Co","8777780839",""
"Utah","58","Gerber Life Insurance Co","8009955991",""
"Virginia","58","Gerber Life Insurance Co","8777780839",""
"Washington","58","Gerber Life Insurance Co","8777780839",""
"Wisconsin","58","Gerber Life Insurance Co","8777780839",""
"West Virginia","58","Gerber Life Insurance Co","8777780839",""
"Wyoming","58","Gerber Life Insurance Co","8777780839",""
"Kansas","59","Blue Cross Blue Shield of Kansas","8007526650",""
"Mississippi","60","Blue Cross Blue Shield of Mississippi","8009691372",""
"Montana","61","Blue Cross Blue Shield of Montana","8004477828",""
"North Carolina","62","Blue Cross Blue Shield of North Carolina","8004780583",""
"Nebraska","64","Blue Cross Blue Shield of Nebraska","8889265401",""
"Rhode Island","65","Blue Cross Blue Shield of Rhode Island","8005052583",""
"Texas - Eastern & Southern","66","Blue Cross Blue Shield of Texas","8887310415",""
"Texas - Northern & Western","66","Blue Cross Blue Shield of Texas","8887310415",""
"Vermont","67","Blue Cross Blue Shield of Vermont","8002554550",""
"Wisconsin","68","Blue Cross Blue Shield of Wisconsin","8882119815",""
"Wyoming","69","Blue Cross Blue Shield of Wyoming","8004422764",""
"Delaware","73","Blue Cross Blue Shield of Delaware","8664654030",""
"Minnesota","74","Blue Cross Blue Shield of Minnesota","8776622583",""
"Oklahoma","75","Blue Cross Blue Shield of Oklahoma","8662883538",""
"Pennsylvania","77","Blue Cross of Northeastern PA (Hospital Service Association)","8008298599",""
"Alaska","78","Premera Blue Cross of Alaska","8883340109",""
"New York - Upstate","79","Excellus Health Plan  Inc. (dba Excellus Blue Cross Blue Shield)","8006336066",""
"New York - New York City Vicinity","79","Excellus Health Plan  Inc. (dba Excellus Blue Cross Blue Shield)","8006336066",""
"District of Columbia","83","CareFirst BlueChoice  Inc.","8002753802",""
"Virginia","83","CareFirst BlueChoice  Inc.","8002753802",""
"New York - Upstate","86","HealthNow New York Inc. (Blue Cross Blue Shield of Western NY)","8885872583",""
"New York - New York City Vicinity","86","HealthNow New York Inc. (Blue Cross Blue Shield of Western NY)","8885872583",""
"New York - Upstate","87","HealthNow New York Inc. (Blue Shield of Northeastern NY)","8772587453",""
"New York - New York City Vicinity","87","HealthNow New York Inc. (Blue Shield of Northeastern NY)","8772587453",""
"Pennsylvania","89","Capital Blue Cross/Capital Advantage Insurance Company (dba Secure Blue)","8887324968",""
"Maryland","91","Carefirst Of Maryland Inc","8002753802",""
"Michigan","93","Celtic Insurance Company","8004477870",""
"South Carolina","102","Pyramid Life Insurance Company","8007771126",""
"Kansas","103","Blue Cross Blue Shield of Kansas City","8008926048",""
"Missouri","103","Blue Cross Blue Shield of Kansas City","8006458346",""
"Florida - Northern","106","Blue Cross Blue Shield of Florida","8009266565",""
"Florida - Southern","106","Blue Cross Blue Shield of Florida","8009266565",""
"Kansas","107","Christian Fidelity Life Insurance Co","8003865202",""
"Missouri","107","Christian Fidelity Life Insurance Co","8666419999","4"
"Texas - Eastern & Southern","107","Christian Fidelity Life Insurance Co","8663611634",""
"Texas - Northern & Western","107","Christian Fidelity Life Insurance Co","8663611634",""
"Michigan","108","Colonial Life & Accident Insurance Co","8003254368",""
"Alaska","122","Mutual of Omaha Insurance Company","8006672937",""
"Arizona","122","Mutual of Omaha Insurance Company","8006672937",""
"California - Northern & Central","122","Mutual of Omaha Insurance Company","8006672937",""
"California - Southern","122","Mutual of Omaha Insurance Company","8006672937",""
"Colorado","122","Mutual of Omaha Insurance Company","8006672937",""
"Connecticut","122","Mutual of Omaha Insurance Company","8007756000",""
"District of Columbia","122","Mutual of Omaha Insurance Company","7036317322",""
"Delaware","122","Mutual of Omaha Insurance Company","8006672937",""
"Florida - Northern","122","Mutual of Omaha Insurance Company","8006672937",""
"Florida - Southern","122","Mutual of Omaha Insurance Company","8006672937",""
"Georgia","122","Mutual of Omaha Insurance Company","8668368168",""
"Hawaii","122","Mutual of Omaha Insurance Company","8007190625",""
"Iowa","122","Mutual of Omaha Insurance Company","8006672937",""
"Idaho","122","Mutual of Omaha Insurance Company","8009318974",""
"Illinois","122","Mutual of Omaha Insurance Company","8006672937",""
"Kansas","122","Mutual of Omaha Insurance Company","4023512775",""
"Kentucky","122","Mutual of Omaha Insurance Company","8772309529",""
"Louisiana","122","Mutual of Omaha Insurance Company","8003543289",""
"Maryland","122","Mutual of Omaha Insurance Company","8006672937",""
"Maine","122","Mutual of Omaha Insurance Company","8007556000",""
"Michigan","122","Mutual of Omaha Insurance Company","8007756000",""
"Minnesota","122","Mutual of Omaha Insurance Company","8772309529",""
"Missouri","122","Mutual of Omaha Insurance Company","8002289999",""
"North Carolina","122","Mutual of Omaha Insurance Company","8009318908",""
"Nebraska","122","Mutual of Omaha Insurance Company","8006808435",""
"New Hampshire","122","Mutual of Omaha Insurance Company","8007756000",""
"New Mexico","122","Mutual of Omaha Insurance Company","8002078050",""
"Nevada","122","Mutual of Omaha Insurance Company","8006672937",""
"New York - Upstate","122","Mutual of Omaha Insurance Company","8002289999",""
"New York - New York City Vicinity","122","Mutual of Omaha Insurance Company","8002289999",""
"Ohio - Western & Southern","122","Mutual of Omaha Insurance Company","8006672937",""
"Ohio - Eastern","122","Mutual of Omaha Insurance Company","8006672937",""
"Rhode Island","122","Mutual of Omaha Insurance Company","8002461158",""
"South Carolina","122","Mutual of Omaha Insurance Company","8003160842",""
"South Dakota","122","Mutual of Omaha Insurance Company","8006672937",""
"Tennessee","122","Mutual of Omaha Insurance Company","8004827166",""
"Virginia","122","Mutual of Omaha Insurance Company","8006672937",""
"Vermont","122","Mutual of Omaha Insurance Company","8006936083",""
"Wisconsin","122","Mutual of Omaha Insurance Company","8006672937",""
"West Virginia","122","Mutual of Omaha Insurance Company","8006936093",""
"Florida - Northern","125","Connecticut General Life Insurance Co","8002446224",""
"Florida - Southern","125","Connecticut General Life Insurance Co","8002446224",""
"Michigan","125","Connecticut General Life Insurance Co","8002446224",""
"Indiana","128","Conseco Health Insurance Co.","8008884918",""
"Kentucky","128","Conseco Health Insurance Co.","8005412254",""
"Michigan","128","Conseco Health Insurance Co.","8005257662",""
"Missouri","128","Conseco Health Insurance Co.","8005412254",""
"Mississippi","128","Conseco Health Insurance Co.","8008884918",""
"Oklahoma","128","Conseco Health Insurance Co.","3178174729",""
"South Carolina","128","Conseco Health Insurance Co.","8005412254",""
"Colorado","130","Constitution Life Insurance Company","8007896364",""
"Georgia","130","Constitution Life Insurance Company","8002756667",""
"Indiana","130","Constitution Life Insurance Company","8007896364",""
"Missouri","130","Constitution Life Insurance Company","8009348203",""
"North Carolina","130","Constitution Life Insurance Company","8004440321",""
"New Mexico","130","Constitution Life Insurance Company","8007896364",""
"South Carolina","130","Constitution Life Insurance Company","8007896364",""
"California - Northern & Central","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"California - Southern","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Georgia","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Idaho","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Louisiana","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Maryland","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Michigan","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Minnesota","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Mississippi","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"New Hampshire","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"New Jersey","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"South Carolina","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Texas - Eastern & Southern","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Texas - Northern & Western","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"Vermont","138","Continental Life Insurance Company of Brentwood  Tennessee","8002644000",""
"West Virginia","138","Continental Life Insurance Company of Brentwood  Tennessee","6153771300",""
"Arkansas","139","Coventry Health & Life Ins Co","8002644000",""
"Idaho","139","Coventry Health & Life Ins Co","8002644000",""
"Kentucky","139","Coventry Health & Life Ins Co","8004311211",""
"North Carolina","139","Coventry Health & Life Ins Co","8009272730",""
"North Dakota","139","Coventry Health & Life Ins Co","8008437421",""
"Alabama","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Arkansas","143","Equitable Life & Casualty Insurance Co","8003525170",""
"Arizona","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Colorado","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Connecticut","143","Equitable Life & Casualty Insurance Co","8003525170",""
"Delaware","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Iowa","143","Equitable Life & Casualty Insurance Co","8003525170",""
"Idaho","143","Equitable Life & Casualty Insurance Co","8003525160",""
"Illinois","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Indiana","143","Equitable Life & Casualty Insurance Co","8003525170",""
"Kansas","143","Equitable Life & Casualty Insurance Co","8003525150",""
"Kentucky","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Louisiana","143","Equitable Life & Casualty Insurance Co","8002644000",""
"Maine","143","Equitable Life & Casualty Insurance Co","8003525150",""
"Michigan","143","Equitable Life & Casualty Insurance Co","8883525124",""
"Missouri","143","Equitable Life & Casualty Insurance Co","8003525170",""
"Mississippi","143","Equitable Life & Casualty Insurance Co","8003525150",""
"Montana","143","Equitable Life & Casualty Insurance Co","8773584060",""
"North Carolina","143","Equitable Life & Casualty Insurance Co","8773584060",""
"North Dakota","143","Equitable Life & Casualty Insurance Co","8015792400",""
"Nebraska","143","Equitable Life & Casualty Insurance Co","8003525170",""
"New Hampshire","143","Equitable Life & Casualty Insurance Co","8003525150",""
"New Mexico","143","Equitable Life & Casualty Insurance Co","8003525170",""
"Nevada","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Ohio - Western & Southern","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Ohio - Eastern","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Oklahoma","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Oregon","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Pennsylvania","143","Equitable Life & Casualty Insurance Co","8003525150",""
"South Dakota","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Tennessee","143","Equitable Life & Casualty Insurance Co","8883525120",""
"Texas - Eastern & Southern","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Texas - Northern & Western","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Utah","143","Equitable Life & Casualty Insurance Co","8773584060",""
"Virginia","143","Equitable Life & Casualty Insurance Co","8773584060",""
"West Virginia","143","Equitable Life & Casualty Insurance Co","8015793400",""
"Alabama","153","First Community Health Plan","8007347826",""
"New York - Upstate","154","First United American Life Insurance Co","8003312512",""
"New York - New York City Vicinity","154","First United American Life Insurance Co","8003312512",""
"Georgia","160","Genworth Life & Annuity Insurance Company","8046622400",""
"Indiana","160","Genworth Life & Annuity Insurance Company","8774369678",""
"Michigan","160","Genworth Life & Annuity Insurance Company","8778259337",""
"Mississippi","160","Genworth Life & Annuity Insurance Company","8002257836",""
"New Jersey","160","Genworth Life & Annuity Insurance Company","8778259337",""
"Alaska","162","Globe Life & Accident Insurance Company","8008016831",""
"Alabama","162","Globe Life & Accident Insurance Company","8008016831",""
"Arkansas","162","Globe Life & Accident Insurance Company","8008016831",""
"Arizona","162","Globe Life & Accident Insurance Company","8008016831",""
"California - Northern & Central","162","Globe Life & Accident Insurance Company","8008016831",""
"California - Southern","162","Globe Life & Accident Insurance Company","8008016831",""
"Colorado","162","Globe Life & Accident Insurance Company","8008016831",""
"Connecticut","162","Globe Life & Accident Insurance Company","8008016831",""
"District of Columbia","162","Globe Life & Accident Insurance Company","8008016831",""
"Delaware","162","Globe Life & Accident Insurance Company","8885343257",""
"Florida - Northern","162","Globe Life & Accident Insurance Company","8008016831",""
"Florida - Southern","162","Globe Life & Accident Insurance Company","8008016831",""
"Georgia","162","Globe Life & Accident Insurance Company","8006545433",""
"Hawaii","162","Globe Life & Accident Insurance Company","8006545433",""
"Iowa","162","Globe Life & Accident Insurance Company","8886783403",""
"Idaho","162","Globe Life & Accident Insurance Company","8006545433",""
"Illinois","162","Globe Life & Accident Insurance Company","8008016831",""
"Indiana","162","Globe Life & Accident Insurance Company","8008016831",""
"Kansas","162","Globe Life & Accident Insurance Company","8008016831",""
"Kentucky","162","Globe Life & Accident Insurance Company","8886783403",""
"Louisiana","162","Globe Life & Accident Insurance Company","8008016831",""
"Maryland","162","Globe Life & Accident Insurance Company","8008016831",""
"Maine","162","Globe Life & Accident Insurance Company","8008016831",""
"Michigan","162","Globe Life & Accident Insurance Company","8008016831",""
"Missouri","162","Globe Life & Accident Insurance Company","8008016831",""
"Mississippi","162","Globe Life & Accident Insurance Company","8008016831",""
"Montana","162","Globe Life & Accident Insurance Company","8008016831",""
"North Carolina","162","Globe Life & Accident Insurance Company","8008016831",""
"North Dakota","162","Globe Life & Accident Insurance Company","8008016831",""
"Nebraska","162","Globe Life & Accident Insurance Company","8886783403",""
"New Hampshire","162","Globe Life & Accident Insurance Company","8008016831",""
"New Jersey","162","Globe Life & Accident Insurance Company","8006545433",""
"New Mexico","162","Globe Life & Accident Insurance Company","8886783403",""
"Nevada","162","Globe Life & Accident Insurance Company","8008016831",""
"Ohio - Western & Southern","162","Globe Life & Accident Insurance Company","8008016831",""
"Ohio - Eastern","162","Globe Life & Accident Insurance Company","8008016831",""
"Oklahoma","162","Globe Life & Accident Insurance Company","8008016831",""
"Oregon","162","Globe Life & Accident Insurance Company","8008016831",""
"Pennsylvania","162","Globe Life & Accident Insurance Company","8003312512",""
"Rhode Island","162","Globe Life & Accident Insurance Company","8008016831",""
"South Carolina","162","Globe Life & Accident Insurance Company","8008016831",""
"South Dakota","162","Globe Life & Accident Insurance Company","8885343257",""
"Tennessee","162","Globe Life & Accident Insurance Company","8006545433",""
"Texas - Eastern & Southern","162","Globe Life & Accident Insurance Company","8008016831",""
"Texas - Northern & Western","162","Globe Life & Accident Insurance Company","8008016831",""
"Utah","162","Globe Life & Accident Insurance Company","8008016831",""
"Virginia","162","Globe Life & Accident Insurance Company","8008016831",""
"Vermont","162","Globe Life & Accident Insurance Company","8006545433",""
"Washington","162","Globe Life & Accident Insurance Company","8008016831",""
"Wisconsin","162","Globe Life & Accident Insurance Company","8008016831",""
"West Virginia","162","Globe Life & Accident Insurance Company","8008016831",""
"Wyoming","162","Globe Life & Accident Insurance Company","8008016831",""
"New York - Upstate","169","Group Health Inc. (GHI)","8004442333",""
"New York - New York City Vicinity","169","Group Health Inc. (GHI)","8004442333",""
"Washington","169","Group Health Inc. (GHI)","8005527114",""
"Florida - Northern","172","Hartford Life & Accident Insurance Co","8003039744",""
"Florida - Southern","172","Hartford Life & Accident Insurance Co","8003039744",""
"California - Northern & Central","179","Health Net of California","8009264178",""
"California - Southern","179","Health Net of California","8009264178",""
"Massachusetts","182","Blue Cross Blue Shield of Massachusetts","8002582226",""
"Missouri","183","Healthy Alliance Life Insurance (Blue Cross Blue Shield of MO Group)","8006526387",""
"New Jersey","184","Horizon Blue Cross Blue Shield of New Jersey","8882858020",""
"Alaska","186","Humana Insurance Company","8883108482",""
"Alabama","186","Humana Insurance Company","8883108482",""
"Arkansas","186","Humana Insurance Company","8883108482",""
"Arizona","186","Humana Insurance Company","8883108482",""
"California - Northern & Central","186","Humana Insurance Company","8883108482",""
"California - Southern","186","Humana Insurance Company","8883108482",""
"Colorado","186","Humana Insurance Company","8883108482",""
"Connecticut","186","Humana Insurance Company","8883108482",""
"District of Columbia","186","Humana Insurance Company","8883108482",""
"Delaware","186","Humana Insurance Company","8883108482",""
"Georgia","186","Humana Insurance Company","8883108482",""
"Hawaii","186","Humana Insurance Company","8883108482",""
"Iowa","186","Humana Insurance Company","8883108482",""
"Idaho","186","Humana Insurance Company","8883108482",""
"Illinois","186","Humana Insurance Company","8883108482",""
"Indiana","186","Humana Insurance Company","8883108482",""
"Kansas","186","Humana Insurance Company","8883108482",""
"Kentucky","186","Humana Insurance Company","8883108482",""
"Massachusetts","186","Humana Insurance Company","8883108482",""
"Maryland","186","Humana Insurance Company","8883108482",""
"Maine","186","Humana Insurance Company","8883108482",""
"Michigan","186","Humana Insurance Company","8883108482",""
"Minnesota","186","Humana Insurance Company","8883108482",""
"Missouri","186","Humana Insurance Company","8883108482",""
"Mississippi","186","Humana Insurance Company","8883108482",""
"Montana","186","Humana Insurance Company","8883108482",""
"North Carolina","186","Humana Insurance Company","8883108482",""
"North Dakota","186","Humana Insurance Company","8883108482",""
"Nebraska","186","Humana Insurance Company","8883108482",""
"New Hampshire","186","Humana Insurance Company","8883108482",""
"New Jersey","186","Humana Insurance Company","8883108482",""
"New Mexico","186","Humana Insurance Company","8883108482",""
"Nevada","186","Humana Insurance Company","8883108482",""
"New York - Upstate","186","Humana Insurance Company","8883108482",""
"New York - New York City Vicinity","186","Humana Insurance Company","8883108482",""
"Ohio - Western & Southern","186","Humana Insurance Company","8883108482",""
"Ohio - Eastern","186","Humana Insurance Company","8883108482",""
"Oklahoma","186","Humana Insurance Company","8883108482",""
"Oregon","186","Humana Insurance Company","8883108482",""
"Pennsylvania","186","Humana Insurance Company","8883108482",""
"Rhode Island","186","Humana Insurance Company","8883108482",""
"South Carolina","186","Humana Insurance Company","8883108482",""
